Month bomb,Month temp,Month Drone,Date temp,Year temp,Country,Date Bomb,Year Bomb,Blast Day Type,Holiday Type,Time,City,Province,Location Category,Location Sensitivity,Open/Closed Space,Target Type,Targeted Sect if any,Explosive Weight (max),Date,Year Drone,Province-1,S#,Killed Min,Killed Max,Injured Min,Injured Max,No. of Suicide Blasts,S#-1,No of Strike,Total Died Max,Longitude,Latitude,Temperature(C)-1,AverageTemperature,AverageTemperatureUncertainty
8,8,8,01/08/2011,2011,Pakistan,06/08/2011,2011,Working Day,,,Mohmand Agency,Fata,Market,Low,Open,Military,NA,,01/08/2011,2011,FATA,324,,1,,0,1,255,1,6,69.9,33.0333,24.605,29.003,0.231
6,6,6,01/06/2009,2009,Pakistan,22/06/2009,2009,Working Day,,,Swat,KPK,Police,High,Open,Police,None,,18/06/2009,2009,FATA,180,,2,,7,,66,1,9,69.9,33.0333,17.425,29.773,0.304
3,3,3,01/03/2011,2011,Pakistan,01/03/2011,2011,Working Day,,Night,Karachi,Sindh,Park/Ground,Low,Open,civilian,None,,17/03/2011,2011,FATA,301,,0,,0,1,228,1,41,70.1455,32.9746,15.38,18.579,0.211
11,11,11,01/11/2010,2010,Pakistan,11/11/2010,2010,Working Day,,8:10:00 PM,Karachi,Sindh,Military,High,Closed,Military,None,1000 Kg,26/11/2010,2010,FATA,281,16,20,100,140,1,196,1,4,70.1455,32.9746,8.01,16.519,0.096
9,9,9,01/09/2010,2010,Pakistan,01/09/2010,2010,Working Day,,6:55pm/7:00pm/7:10pm,Lahore,Punjab,Park/Ground,Low,Open,Religious,Shiite,NA,28/09/2010,2010,FATA,272,27,43,150,243,3,171,1,4,69.9,33.0333,18.97,26.11,0.208
12,12,12,01/12/2010,2010,Pakistan,25/12/2010,2010,Holiday,Christmas/ birthday of Quaid-e-Azam,NA,Bajaur Agency,FATA,Foreign,High,Closed,Police,None,NA,17/12/2010,2010,FATA,291,42,47,80,105,1,202,4,50,71.1481,34.0983,9.22,10.46,0.236
7,7,7,01/07/2012,2012,Pakistan,16/07/2012,2012,Working Day,,9:30AM,Bannu,KPK,Police,High,Closed,Police,None,NA,23/07/2012,2012,FATA,354,2,7,2,8,1,308,8,12,70.1455,32.9746,26.555,30.722,0.214
8,8,8,01/08/2009,2009,Pakistan,27/08/2009,2009,Working Day,,aftar time,Khyber Agency,FATA,Military,High,Open,Military,None,NA,11/08/2009,2009,FATA,194,20,22,10,27,1,74,1,14,69.9,33.0333,25.44,29.891,0.208
9,9,9,01/09/2008,2008,Pakistan,24/09/2008,2008,Working Day,,NA,Quetta,Baluchistan,Military,High,Open,Military,None,8 Kg,04/09/2008,2008,FATA,122,1,14,22,25,1,23,1,6,70.1455,32.9746,24.8,26.585,0.241
9,9,9,01/09/2009,2009,Pakistan,28/09/2009,2009,Working Day,,Monday Morning,bannu,KPK,Mobile,Low,Open,Anti-Militants,Sunni,NA,08/09/2009,2009,FATA,203,4,5,,,1,77,1,8,69.9,33.0333,21.295,27.295,0.167
